Print ISSN,E-ISSN,Field,Journal Title,Publisher,AJG 2024
0515-0361,1783-1350,FINANCE,ASTIN Bulletin,Cambridge University Press,2
1472-0701,1758-6054,FINANCE,Corporate Governance (Bingley),Emerald,2
1540-496X,1558-0938,FINANCE,Emerging Markets Finance and Trade,Taylor & Francis,2
1566-0141,1873-6173,FINANCE,Emerging Markets Review,Elsevier,2
2190-9733,2190-9741,FINANCE,European Actuarial Journal,Springer Nature,2
1544-6123,1544-6131,FINANCE,Finance Research Letters,Elsevier,2
,2199-4730,FINANCE,Financial Innovation,Springer Nature,2
1934-4554,2373-8529,FINANCE,Financial Markets and Portfolio Management,Springer Nature,2
1567-2395,1567-2409,FINANCE,Foundations and Trends in Finance,Now Publishers Inc.,2
1018-5895,1468-0440,FINANCE,Geneva Papers on Risk and Insurance: Issues and Practice,Springer Nature,2
1044-0283,1873-5665,FINANCE,Global Finance Journal,Elsevier,2
1755-3830,1755-3849,FINANCE,"International Journal of Banking, Accounting and Finance",Inderscience Publishers,2
1743-9132,1758-6569,FINANCE,International Journal of Managerial Finance,Emerald,2
0219-0249,1793-6322,FINANCE,International Journal of Theoretical and Applied Finance,World Scientific,2
0927-5940,1573-6970,FINANCE,International Tax and Public Finance,Springer Nature,2
1520-3255,2168-8435,FINANCE,Journal of Alternative Investments,Portfolio Management Research,2
1470-8272,1479-179X,FINANCE,Journal of Asset Management,Springer Nature,2
1745-6452,1750-2071,FINANCE,Journal of Banking Regulation,Springer Nature,2
1542-7560,1542-7579,FINANCE,Journal of Behavioral Finance,Taylor & Francis,2
1074-1240,2168-8524,FINANCE,Journal of Derivatives,Portfolio Management Research,2
0148-6195,1879-1735,FINANCE,Journal of Economics and Business,Elsevier,2
0972-6527,0973-0710,FINANCE,Journal of Emerging Market Finance,SAGE,2
1059-8596,2168-8648,FINANCE,Journal of Fixed Income,Portfolio Management Research,2
2380-5005,2380-5013,FINANCE,"Journal of Law, Finance, and Accounting",Now Publishers Inc.,2
1042-444X,1873-1309,FINANCE,Journal of Multinational Financial Management,Elsevier,2
1744-6740,1755-2710,FINANCE,Journal of Operational Risk,Incisive Media Ltd.,2
1474-7472,1475-3022,FINANCE,Journal of Pension Economics and Finance,Cambridge University Press,2
1465-1211,1755-2842,FINANCE,Journal of Risk,Incisive Media Ltd.,2
1092-0277,2325-0453,FINANCE,North American Actuarial Journal,Taylor & Francis,2
0927-538X,1879-0585,FINANCE,Pacific Basin Finance Journal,Elsevier,2
0275-5319,1878-3384,FINANCE,Research in International Business and Finance,Elsevier,2
1475-7702,1758-7700,FINANCE,Review of Accounting and Finance,Emerald,2
1380-6645,1573-7144,FINANCE,Review of Derivatives Research,Springer Nature,2
1879-9337,,FINANCE,Review of Development Finance,Africagrowth Institute,2
1945-497X,1945-497X,FINANCE,SIAM Journal on Financial Mathematics,Society for Industrial and Applied Mathematics,2
1605-9786,2959-0922,FINANCE,African Finance Journal,African Finance Association,1
0002-1466,2041-6326,FINANCE,Agricultural Finance Review,Emerald,1
1748-4995,1748-5002,FINANCE,Annals of Actuarial Science,Cambridge University Press,1
,2499-4472,FINANCE,Bancaria The Journal of the Italian Banking Association,Italian Banking Association (ABI),1
1816-7403,1991-7074,FINANCE,Banks and Bank Systems,Business Perspectives,1
1357-3217,2044-0456,FINANCE,British Actuarial Journal,Cambridge University Press,1
2044-1398,2044-1401,FINANCE,China Finance Review International,Emerald,1
2164-5744,2164-5760,FINANCE,Critical Finance Review,Now Publishers Inc.,1
0752-6180,2101-0145,FINANCE,Finance,Presses Universitaires de Grenoble,1
1873-5673,1057-0810,FINANCE,Financial Services Review,Academy of Financial Services,1
2616-3551,2522-9591,FINANCE,Insurance Markets and Companies,Business Perspectives,1
1550-1949,2160-0074,FINANCE,"Intelligent Systems in Accounting, Finance and Management",Wiley-Blackwell,1
1753-8394,1753-8408,FINANCE,International Journal of Islamic and Middle Eastern Finance and Management,Emerald,1
1029-3523,2077-0227,FINANCE,Investment Analysts Journal,Taylor & Francis,1
1810-4967,1812-9358,FINANCE,Investment Management and Financial Innovations,Business Perspectives,1
1078-1196,1745-6622,FINANCE,Journal of Applied Corporate Finance,Wiley-Blackwell,1
2214-6350,2214-6369,FINANCE,Journal of Behavioral and Experimental Finance,Elsevier,1
2514-4774,2514-4774,FINANCE,Journal of Capital Markets Studies,Emerald,1
1460-1559,1755-2850,FINANCE,Journal of Computational Finance,Incisive Media Ltd.,1
1744-6619,1755-9723,FINANCE,Journal of Credit Risk,Incisive Media Ltd.,1
1055-0925,1938-9744,FINANCE,Journal of Economics and Finance,Springer Nature,1
2077-1886,2218-0648,FINANCE,"Journal of Economics, Finance and Administrative Science",Emerald,1
1756-3607,1756-3615,FINANCE,Journal of Energy Markets,Infopro Digital Risk Ltd,1
1757-6385,1757-6393,FINANCE,Journal of Financial Economic Policy,Emerald,1
,2282-717X,FINANCE,"Journal of Financial Management, Markets and Institutions",World Scientific,1
2049-5404,2049-5412,FINANCE,Journal of Financial Market Infrastructures,Infopro Digital Risk Ltd,1
1358-1988,1740-0279,FINANCE,Journal of Financial Regulation and Compliance,Emerald,1
1985-2517,2042-5856,FINANCE,Journal of Financial Reporting and Accounting,Emerald,1
2047-1238,2047-1246,FINANCE,Journal of Investment Strategies,Infopro Digital Risk Ltd,1
1750-6751,1750-676X,FINANCE,Journal of Prediction Markets,UBP,1
1463-578X,1470-2002,FINANCE,Journal of Property Investment and Finance,Emerald,1
0965-7967,1526-5943,FINANCE,Journal of Risk Finance,Emerald,1
1753-9579,1753-9587,FINANCE,Journal of Risk Model Validation,Incisive Media Ltd.,1
2043-0795,2043-0809,FINANCE,Journal of Sustainable Finance and Investment,Taylor & Francis,1
0307-4358,1758-7743,FINANCE,Managerial Finance,Emerald,1
1096-1879,,FINANCE,Multinational Finance Journal,Multinational Finance Society,1
2222-1867,2222-1875,FINANCE,Public and Municipal Finance,Business Perspectives,1
1755-4179,1755-4187,FINANCE,Qualitative Research in Financial Markets,Emerald,1
2010-1392,2010-1406,FINANCE,Quarterly Journal of Finance,World Scientific,1
1939-8123,2327-8250,FINANCE,Quarterly Journal of Finance and Accounting (QJFA),Creighton University,1
1940-5979,1940-5987,FINANCE,Review of Behavioral Finance,Emerald,1
0346-1238,1651-2030,FINANCE,Scandinavian Actuarial Journal,Taylor & Francis,1
2771-6511,2771-6511,FINANCE,The Journal of Beta Investment Strategies,Portfolio Management Research,1
2640-3943,2640-3951,FINANCE,The Journal of Financial Data Science,Portfolio Management Research,1
1068-0896,2168-8613,FINANCE,The Journal of Investing,Portfolio Management Research,1
1551-9783,2374-1325,FINANCE,The Journal of Structured Finance,Portfolio Management Research,1
1534-7524,2374-1368,FINANCE,The Journal of Wealth Management,Portfolio Management Research,1
0954-5395,1748-8583,HRM&EMP,Human Resource Management Journal (UK),Wiley-Blackwell,4*
0007-1080,1467-8543,HRM&EMP,British Journal of Industrial Relations,Wiley-Blackwell,4
0090-4848,1099-050X,HRM&EMP,Human Resource Management (USA),Wiley-Blackwell,4
0019-8676,1468-232X,HRM&EMP,Industrial Relations,Wiley-Blackwell,4
0950-0170,1469-8722,HRM&EMP,"Work, Employment and Society",SAGE,4
0143-831X,1461-7099,HRM&EMP,Economic and Industrial Democracy,SAGE,3
0959-6801,1461-7129,HRM&EMP,European Journal of Industrial Relations,SAGE,3
1053-4822,1873-7889,HRM&EMP,Human Resource Management Review,Elsevier,3
0019-7939,2162-271X,HRM&EMP,ILR Review,SAGE,3
0305-9332,1464-3669,HRM&EMP,Industrial Law Journal,Oxford University Press,3
0019-8692,1468-2338,HRM&EMP,Industrial Relations Journal,Wiley-Blackwell,3
0958-5192,1466-4399,HRM&EMP,International Journal of Human Resource Management,Taylor & Francis,3
0268-1072,1468-005X,HRM&EMP,"New Technology, Work and Employment",Wiley-Blackwell,3
0730-8884,1552-8464,HRM&EMP,Work and Occupations,SAGE,3
1038-4111,1744-7941,HRM&EMP,Asia Pacific Journal of Human Resources,Wiley-Blackwell,2
1362-0436,1758-6003,HRM&EMP,Career Development International,Emerald,2
0889-4019,2161-0045,HRM&EMP,Career Development Quarterly,Wiley-Blackwell,2
0142-5455,1758-7069,HRM&EMP,Employee Relations,Emerald,2
0892-7545,1573-3378,HRM&EMP,Employee Responsibilities and Rights Journal,Springer Nature,2
1367-8868,1469-8374,HRM&EMP,Human Resource Development International,Taylor & Francis,2
1044-8004,1532-1096,HRM&EMP,Human Resource Development Quarterly,Wiley-Blackwell,2
1552-6712,1552-6712,HRM&EMP,Human Resource Development Review,SAGE,2
0943-2779,1862-0035,HRM&EMP,Industrielle Beziehungen,Verlag Barbara Budrich,2
0143-7720,1758-6577,HRM&EMP,International Journal of Manpower,Emerald,2
1360-3736,1468-2419,HRM&EMP,International Journal of Training and Development,Wiley-Blackwell,2
0020-7780,1564-913X,HRM&EMP,International Labour Review,Wiley-Blackwell,2
2049-8799,2049-8802,HRM&EMP,Journal of Global Mobility,Emerald,2
0022-1856,1472-9296,HRM&EMP,Journal of Industrial Relations,SAGE,2
0195-3613,1936-4768,HRM&EMP,Journal of Labor Research,Springer Nature,2
2051-6614,2051-6622,HRM&EMP,Journal of Organizational Effectiveness,Emerald,2
2514-7641,2514-7641,HRM&EMP,Journal of Participation and Employee Ownership,Emerald,2
0160-449X,1538-9758,HRM&EMP,Labor Studies Journal,SAGE,2
1030-1763,2325-5676,HRM&EMP,Labour and Industry: a journal of social and economic relations of work,Taylor & Francis,2
0048-3486,1758-6933,HRM&EMP,Personnel Review,Emerald,2
0034-379X,1703-8138,HRM&EMP,Relations Industrielles/Industrial Relations,Universite Laval,2
0038-0296,1777-5701,HRM&EMP,Sociologie du Travail,Elsevier,2
1024-2589,1996-7284,HRM&EMP,Transfer,SAGE,2
,2732-4176,HRM&EMP,Work in the Global Economy,Bristol University Press,2
,2054-4650,HRM&EMP,"Work, Aging and Retirement",Oxford University Press,2
2397-0022,2397-0030,HRM&EMP,Zeitschrift für Personalforschung (German Journal of Research in Human Resource Management),SAGE,2
0742-6186,2514-3964,HRM&EMP,Advances in Industrial and Labor Relations,Emerald,1
,2664-3731,HRM&EMP,African Journal of Employee Relations,UNISA Press,1
1328-1143,2981-9490,HRM&EMP,Australian Journal of Labour Economics,The Bankwest Curtin Economics Centre,1
1035-3046,1838-2673,HRM&EMP,Economic and Labour Relations Review,Cambridge University Press,1
2049-3983,2049-3991,HRM&EMP,Evidence-based HRM,Emerald,1
0971-7927,0019-5308,HRM&EMP,Indian Journal of Labour Economics,Springer Nature,1
0019-7858,0019-7858,HRM&EMP,Industrial and Commercial Training,Emerald,1
0952-617X,1875-838X,HRM&EMP,International Journal of Comparative Labour Law and Industrial Relations,Kluwer Law International,1
1039-6993,1839-5945,HRM&EMP,International Journal of Employment Studies,International Employment Relations Association (IERA),1
1479-4853,1479-4861,HRM&EMP,International Journal of Learning and Intellectual Capital,Inderscience Publishers,1
2205-2062,2205-149X,HRM&EMP,Journal of Work-Applied Management,Emerald,1
1121-7081,1467-9914,HRM&EMP,Labour,Wiley-Blackwell,1
0258-042X,2321-0710,HRM&EMP,Management and Labour Studies,SAGE,1
0742-7301,,HRM&EMP,Research in Personnel and Human Resources Management,Emerald,1
1683-7584,2071-078X,HRM&EMP,SA Journal of Human Resource Management,AOSIS (pty) Ltd,1
2322-0937,2349-5790,HRM&EMP,South Asian Journal of Human Resources Management,SAGE,1
1352-7592,1352-7592,HRM&EMP,Team Performance Management,Emerald,1
1745-641X,1745-6428,HRM&EMP,"Work Organisation, Labour and Globalisation",Pluto Journals,1
0047-2506,1478-6990,IB&AREA,Journal of International Business Studies,Springer Nature,4*
1090-9516,1878-5573,IB&AREA,Journal of World Business,Elsevier,4
0001-9909,1468-2621,IB&AREA,African Affairs,Oxford University Press,3
0217-4561,1572-9958,IB&AREA,Asia Pacific Journal of Management,Springer Nature,3
0969-5931,1873-6149,IB&AREA,International Business Review,Elsevier,3
0021-9886,1468-5965,IB&AREA,Journal of Common Market Studies,Wiley-Blackwell,3
2522-0691,2522-0705,IB&AREA,Journal of International Business Policy,Springer Nature,3
1075-4253,1873-0620,IB&AREA,Journal of International Management,Elsevier,3
1740-8776,1740-8784,IB&AREA,Management and Organization Review,Cambridge University Press,3
0938-8249,1861-8901,IB&AREA,Management International Review,Springer Nature,3
1525-383X,2054-1686,IB&AREA,Multinational Business Review,Emerald,3
1360-2381,1743-792X,IB&AREA,Asia Pacific Business Review,Taylor & Francis,2
1472-4782,1476-9328,IB&AREA,Asian Business and Management,Springer Nature,2
0305-7410,1468-2648,IB&AREA,China Quarterly,Cambridge University Press,2
1742-2043,1758-6062,IB&AREA,Critical Perspectives on International Business,Emerald,2
2059-5794,2059-5808,IB&AREA,Cross Cultural and Strategic Management,Emerald,2
1538-7216,1938-2863,IB&AREA,Eurasian Geography and Economics,Taylor & Francis,2
1450-2194,1758-888X,IB&AREA,EuroMed Journal of Business,Emerald,2
0966-8136,1465-3427,IB&AREA,Europe-Asia Studies,Taylor & Francis,2
1751-6757,1751-6765,IB&AREA,European Journal of International Management,Inderscience Publishers,2
1611-1699,2029-4433,IB&AREA,Journal of Business Economics and Management,Vilnius Gediminas Technical University,2
0022-216X,1469-767X,IB&AREA,Journal of Latin American Studies,Cambridge University Press,2
0022-278X,1469-7777,IB&AREA,Journal of Modern African Studies,Cambridge University Press,2
1011-6702,2210-2795,IB&AREA,Journal of World Trade,Kluwer Law International,2
0305-6244,1740-1720,IB&AREA,Review of African Political Economy,Taylor & Francis,2
0143-6597,1360-2241,IB&AREA,Third World Quarterly,Taylor & Francis,2
1096-4762,1520-6874,IB&AREA,Thunderbird International Business Review,Wiley-Blackwell,2
1012-8255,2056-5127,IB&AREA,Academia Revista Latinoamericana de Administracion,Emerald,1
2040-0705,2040-0713,IB&AREA,African Journal of Economic and Management Studies,Emerald,1
1029-3132,2589-8213,IB&AREA,Asia Pacific Management Review,Elsevier,1
1757-4323,1757-4331,IB&AREA,Asia-Pacific Journal of Business Administration,Emerald,1
1750-614X,1750-6158,IB&AREA,Chinese Management Studies,Emerald,1
1059-5422,2051-3143,IB&AREA,Competitiveness Review,Emerald,1
0015-7325,0971-7625,IB&AREA,Foreign Trade Review,SAGE,1
1097-4954,1745-1329,IB&AREA,Global Business and Economics Review,Inderscience Publishers,1
1753-6219,1753-6227,IB&AREA,International Journal of Business and Emerging Markets,Inderscience Publishers,1
1470-5958,1741-2838,IB&AREA,International Journal of Cross Cultural Management,SAGE,1
1746-8809,1746-8817,IB&AREA,International Journal of Emerging Markets,Emerald,1
2059-089X,2059-0903,IB&AREA,International Journal of Export Marketing,Inderscience Publishers,1
1753-0806,1753-0814,IB&AREA,International Journal of Indian Culture and Business Management,Inderscience Publishers,1
0885-3908,1521-0545,IB&AREA,International Trade Journal,Taylor & Francis,1
1549-9324,1747-6763,IB&AREA,Journal for International Business and Entrepreneurship Development,Inderscience Publishers,1
1522-8916,1522-9076,IB&AREA,Journal of African Business,Taylor & Francis,1
1558-7894,1559-2243,IB&AREA,Journal of Asia Business Studies,Emerald,1
1059-9231,1528-6940,IB&AREA,Journal of Asia-Pacific Business,Taylor & Francis,1
1476-5284,1476-5292,IB&AREA,Journal of Chinese Economic and Business Studies,Taylor & Francis,1
0949-6181,1862-0019,IB&AREA,Journal of East European Management Studies,Nomos Verlagsgesellschaft mbH und Co,1
1066-9868,1528-6959,IB&AREA,Journal of East-West Business,Taylor & Francis,1
1547-5778,1547-5786,IB&AREA,Journal of Transnational Management,Taylor & Francis,1
1097-8526,1528-6932,IB&AREA,Latin American Business Review,Taylor & Francis,1
1536-5433,1558-0946,IB&AREA,Management Research,Emerald,1
2059-6014,2059-6014,IB&AREA,Review of International Business and Strategy,Emerald,1
2177-8736,2177-8736,IB&AREA,Revista de Gestão,Emerald,1
2078-5585,2078-5976,IB&AREA,South African Journal of Business Management,AOSIS (pty) Ltd,1
2277-9787,2321-0273,IB&AREA,South Asian Journal of Macroeconomics and Public Finance,SAGE,1
1918-6444,1925-2099,IB&AREA,Transnational Corporations Review,Elsevier,1
1047-7047,1526-5536,INFO MAN,Information Systems Research,Institute for Operations Research and the Management Sciences,4*
,1536-9323,INFO MAN,Journal of the Association for Information Systems,Association for Information Systems,4*
0276-7783,2162-9730,INFO MAN,MIS Quarterly: Management Information Systems,University of Minnesota,4*
0960-085X,1476-9344,INFO MAN,European Journal of Information Systems,Taylor & Francis,4
1350-1917,1365-2575,INFO MAN,Information Systems Journal,Wiley-Blackwell,4
0268-3962,1466-4437,INFO MAN,Journal of Information Technology,SAGE,4
0742-1222,1557-928X,INFO MAN,Journal of Management Information Systems,Taylor & Francis,4
0963-8687,1873-1198,INFO MAN,Journal of Strategic Information Systems,Elsevier,4
0167-9236,1873-5797,INFO MAN,Decision Support Systems,Elsevier,3
0740-624X,1872-9517,INFO MAN,Government Information Quarterly,Elsevier,3
0378-7206,1872-7530,INFO MAN,Information and Management,Elsevier,3
1471-7727,1873-7919,INFO MAN,Information and Organization,Elsevier,3
0197-2243,1087-6537,INFO MAN,Information Society,Taylor & Francis,3
1387-3326,1572-9419,INFO MAN,Information Systems Frontiers,Springer Nature,3
0959-3845,1758-5813,INFO MAN,Information Technology and People,Emerald,3
1086-4415,1557-9301,INFO MAN,International Journal of Electronic Commerce,Taylor & Francis,3
1066-2243,1066-2243,INFO MAN,Internet Research,Emerald,3
1083-6101,1083-6101,INFO MAN,Journal of Computer-Mediated Communication,Oxford University Press,3
2330-1635,2330-1643,INFO MAN,Journal of the Association for Information Science and Technology (JASIST),Wiley-Blackwell,3
,1944-3900,INFO MAN,AIS Transactions on Human-Computer Interaction,Association for Information Systems,2
0066-4200,1550-8382,INFO MAN,Annual Review of Information Science and Technology,Wiley-Blackwell,2
0144-929X,1362-3001,INFO MAN,Behaviour and Information Technology,Taylor & Francis,2
0007-1013,1467-8535,INFO MAN,British Journal of Educational Technology,Wiley-Blackwell,2
2363-7005,1867-0202,INFO MAN,Business & Information Systems Engineering,Springer Nature,2
0001-0782,1557-7317,INFO MAN,Communications of the ACM,Association for Computing Machinery,2
1529-3181,,INFO MAN,Communications of the Association for Information Systems,Association for Information Systems,2
0010-4620,1460-2067,INFO MAN,Computer Journal,Oxford University Press,2
0925-9724,1573-7551,INFO MAN,Computer Supported Cooperative Work,Springer Nature,2
0747-5632,1873-7692,INFO MAN,Computers in Human Behavior,Elsevier,2
1389-5753,1572-9362,INFO MAN,Electronic Commerce Research,Springer Nature,2
1567-4223,1873-7846,INFO MAN,Electronic Commerce Research and Applications,Elsevier,2
1751-7575,1751-7583,INFO MAN,Enterprise Information Systems,Taylor & Francis,2
0266-4720,1468-0394,INFO MAN,Expert Systems,Wiley-Blackwell,2
1471-1834,1471-1842,INFO MAN,Health Information and Libraries Journal,Wiley-Blackwell,2
2047-6965,2047-6973,INFO MAN,Health Systems,Taylor & Francis,2
0263-5577,1758-5783,INFO MAN,Industrial Management and Data Systems,Emerald,2
0306-4573,1873-5371,INFO MAN,Information Processing and Management,Elsevier,2
1617-9846,1617-9854,INFO MAN,Information Systems and e-Business Management,Springer Nature,2
1058-0530,1934-8703,INFO MAN,Information Systems Management,Taylor & Francis,2
0268-1102,1554-0170,INFO MAN,Information Technology for Development,Taylor & Francis,2
0953-5438,1873-7951,INFO MAN,Interacting with Computers,Oxford University Press,2
1071-5819,1095-9300,INFO MAN,International Journal of Human Computer Studies,Elsevier,2
0268-4012,1873-4707,INFO MAN,International Journal of Information Management,Elsevier,2
0887-4417,2380-2057,INFO MAN,Journal of Computer Information Systems,Taylor & Francis,2
0022-0418,1758-7379,INFO MAN,Journal of Documentation,Emerald,2
1741-0398,1758-7409,INFO MAN,Journal of Enterprise Information Management,Emerald,2
1062-7375,1533-7995,INFO MAN,Journal of Global Information Management,IGI Global Publishing,2
1097-198X,2333-6846,INFO MAN,Journal of Global Information Technology Management,Taylor & Francis,2
0165-5515,1741-6485,INFO MAN,Journal of Information Science,SAGE,2
0164-1212,1873-1228,INFO MAN,Journal of Systems and Software,Elsevier,2
1540-1960,1540-1979,INFO MAN,MIS Quarterly Executive,Association for Information Systems,2
1943-7536,1943-7544,INFO MAN,Pacific Asia Journal of the Association for Information Systems,Association for Information Systems,2
0947-3602,1432-010X,INFO MAN,Requirements Engineering,Springer Nature,2
0905-0167,1901-0990,INFO MAN,Scandinavian Journal of Information Systems,Association for Information Systems,2
0095-0033,1532-0936,INFO MAN,The Data Base for Advances in Information Systems,Association for Computing Machinery,2
2050-3806,2050-3814,INFO MAN,Aslib Journal of Information Management,Emerald,1
1449-8618,1326-2238,INFO MAN,Australasian Journal of Information Systems,"UQ Business School, The University of Queensland",1
1528-8226,1528-8234,INFO MAN,e-Service Journal,Indiana University Press,1
1388-1957,1572-8439,INFO MAN,Ethics and Information Technology,Springer Nature,1
0957-4174,1873-6793,INFO MAN,Expert Systems with Applications,Elsevier,1
2331-1231,2331-124X,INFO MAN,Foundations and Trends® in Information Systems,Now Publishers Inc.,1
0737-0024,1532-7051,INFO MAN,Human-Computer Interaction,Taylor & Francis,1
2056-4961,2056-497X,INFO MAN,Information and Computer Security,Emerald,1
,1368-1613,INFO MAN,Information Research,University of Boras,1
1040-1628,1533-7979,INFO MAN,Information Resources Management Journal,IGI Global Publishing,1
1098-3058,1943-4294,INFO MAN,Information Technology & Tourism,Springer Nature,1
1385-951X,1573-7667,INFO MAN,Information Technology and Management,Springer Nature,1
1751-200X,1751-2018,INFO MAN,International Journal of Business and Systems Research,Inderscience Publishers,1
1746-0972,1746-0980,INFO MAN,International Journal of Business Information Systems,Inderscience Publishers,1
1741-8763,1741-8771,INFO MAN,International Journal of Business Process Integration and Management,Inderscience Publishers,1
1755-8050,1755-8069,INFO MAN,International Journal of Data Analysis Techniques and Strategies,Inderscience Publishers,1
2643-8054,2643-8062,INFO MAN,"International Journal of Digital Strategy, Governance, and Business Transformation",IGI Global Publishing,1
1548-1131,1548-114X,INFO MAN,International Journal of e-Business Research,IGI Global Publishing,1
1470-6067,1741-5063,INFO MAN,International Journal of Electronic Business,Inderscience Publishers,1
1548-1115,1548-1123,INFO MAN,International Journal of Enterprise Information Systems,IGI Global Publishing,1
1479-3121,1479-313X,INFO MAN,International Journal of Information Systems and Change Management,Inderscience Publishers,1
1935-5688,1935-5696,INFO MAN,International Journal of Information Systems in the Service Sector,IGI Global Publishing,1
1461-4111,1741-5179,INFO MAN,International Journal of Information Technology and Management,Inderscience Publishers,1
1548-0666,1548-0658,INFO MAN,International Journal of Knowledge Management,IGI Global Publishing,1
1753-0822,1753-0830,INFO MAN,International Journal of Services Economics and Management,Inderscience Publishers,1
1744-0084,1744-0092,INFO MAN,International Journal of Web Information Systems,Emerald,1
1063-8016,1533-8010,INFO MAN,Journal of Database Management,IGI Global Publishing,1
1246-0125,2116-7052,INFO MAN,Journal of Decision Systems,Taylor & Francis,1
1539-2937,1539-2929,INFO MAN,Journal of Electronic Commerce in Organizations,IGI Global Publishing,1
1938-9027,1526-6133,INFO MAN,Journal of Electronic Commerce Research,California State University Press,1
1554-1908,1558-7940,INFO MAN,Journal of Emerging Technologies in Accounting,American Accounting Association,1
1055-3096,2574-3872,INFO MAN,Journal of Information Systems Education,ISCAP - Information Systems and Computing Academic Professionals,1
1522-8053,2333-6897,INFO MAN,Journal of Information Technology Case and Application Research,Taylor & Francis,1
2008-5893,2423-5059,INFO MAN,Journal of Information Technology Management,University of Tehran,1
2043-8869,2043-8869,INFO MAN,Journal of Information Technology Teaching Cases,SAGE,1
1751-1577,1875-5879,INFO MAN,Journal of Informetrics,Elsevier,1
1533-2861,1533-287X,INFO MAN,Journal of Internet Commerce,Taylor & Francis,1
1546-2234,1546-5012,INFO MAN,Journal of Organizational and End User Computing,IGI Global Publishing,1
1091-9392,1532-7744,INFO MAN,Journal of Organizational Computing and Electronic Commerce,Taylor & Francis,1
1328-7265,1758-8847,INFO MAN,Journal of Systems and Information Technology,Emerald,1
0718-1876,0718-1876,INFO MAN,Journal of Theoretical and Applied Electronic Commerce Research,Multidisciplinary Digital Publishing Institute (MDPI),1
1477-8238,1477-8246,INFO MAN,Knowledge Management Research and Practice,Taylor & Francis,1
0737-8831,0737-8831,INFO MAN,Library Hi Tech (LHT),Emerald,1
1468-4527,1468-4535,INFO MAN,Online Information Review,Emerald,1
,2325-4688,INFO MAN,Online Journal of Applied Knowledge Management,The International Institute for Applied Knowledge Management,1
,2665-9638,INFO MAN,Software Impacts,Elsevier,1
2078-1865,1560-683X,INFO MAN,South African Journal of Information Management,AOSIS (pty) Ltd,1
0888-045X,0888-045X,INFO MAN,The Bottom Line,Emerald,1
0048-7333,1873-7625,INNOV,Research Policy,Elsevier,4*
0737-6782,1540-5885,INNOV,Journal of Product Innovation Management,Wiley-Blackwell,4
1366-2716,1469-8390,INNOV,Industry and Innovation,Taylor & Francis,3
0892-9912,1573-7047,INNOV,Journal of Technology Transfer,Springer Nature,3
0033-6807,1467-9310,INNOV,R and D Management,Wiley-Blackwell,3
0040-1625,1873-5509,INNOV,Technological Forecasting and Social Change,Elsevier,3
0166-4972,1879-2383,INNOV,Technovation,Elsevier,3
0963-1690,1467-8691,INNOV,Creativity and Innovation Management,Wiley-Blackwell,2
1447-9338,2204-0226,INNOV,Innovation: Organization & Management,Taylor & Francis,2
1363-9196,1757-5877,INNOV,International Journal of Innovation Management,World Scientific,2
0923-4748,1879-1719,INNOV,Journal of Engineering and Technology Management - JET-M,Elsevier,2
1047-8310,1879-1638,INNOV,Journal of High Technology Management Research,Elsevier,2
2329-9460,2329-9037,INNOV,Journal of Responsible Innovation,Taylor & Francis,2
0810-9028,1470-1030,INNOV,Prometheus,Pluto Journals,2
0895-6308,1930-0166,INNOV,Research Technology Management,Taylor & Francis,2
2243-4690,2243-4690,INNOV,Science and Technology Studies,The Finnish Society for Science and Technology Studies,2
0162-2439,1552-8251,INNOV,Science Technology and Human Values,SAGE,2
0138-9130,1588-2861,INNOV,Scientometrics,Springer Nature,2
0306-3127,1460-3659,INNOV,Social Studies of Science,SAGE,2
0954-349X,1873-6017,INNOV,Structural Change and Economic Dynamics,Elsevier,2
2475-1820,2475-1812,INNOV,Annals of Science and Technology Policy,Now Publishers Inc.,1
1976-1597,2158-6721,INNOV,Asian Journal of Technology Innovation,Taylor & Francis,1
1460-1060,1758-7115,INNOV,European Journal of Innovation Management,Emerald,1
1751-0252,1751-0260,INNOV,International Journal of Business Innovation and Research,Inderscience Publishers,1
1368-275X,1741-5098,INNOV,International Journal of Entrepreneurship and Innovation Management,Inderscience Publishers,1
1740-2816,1740-2824,INNOV,International Journal of Foresight and Innovation Policy,Inderscience Publishers,1
1740-8822,1740-8830,INNOV,International Journal of Innovation and Sustainable Development,Inderscience Publishers,1
0219-8770,1793-6950,INNOV,International Journal of Innovation and Technology Management,World Scientific,1
1757-2223,1757-2231,INNOV,International Journal of Innovation Science,Emerald,1
1477-9056,1741-8178,INNOV,International Journal of Product Development,Inderscience Publishers,1
1753-1942,1753-1950,INNOV,"International Journal of Technological Learning, Innovation and Development",Inderscience Publishers,1
1476-5667,1741-8194,INNOV,International Journal of Technology and Globalisation,Inderscience Publishers,1
1740-2832,1740-2840,INNOV,International Journal of Technology Intelligence and Planning,Inderscience Publishers,1
1474-2748,2040-0551,INNOV,International Journal of Technology Management and Sustainable Development,Intellect Publishers,1
1470-6075,1741-5284,INNOV,International Journal of Technology Transfer and Commercialisation,Inderscience Publishers,1
1468-4322,1741-5292,INNOV,"International Journal of Technology, Policy and Management",Inderscience Publishers,1
2046-3375,2046-3383,INNOV,International Journal of the Digital Human,Inderscience Publishers,1
2530-7614,2444-569X,INNOV,Journal of Innovation and Knowledge,Elsevier,1
,2032-5355,INNOV,Journal of Innovation Economics & Management,De Boeck Supérieur,1
