ISBN,Unformatted ISBN,Book Title,ISSN,Volume,Supplement,Series Title,Year,Available Online,Shortcut URL,Publication Type,Imprint
978-0-443-21841-5,9780443218415,Biomedical Waste Management in the COVID-19 Era,,,,Waste And The Environment: Underlying Burdens And Management Strategies,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443218415,Book,Elsevier
978-0-443-40572-3,9780443405723,The Future of Pharma Across All Sectors in the Artificial Intelligence Era,,,,Next Generation Technology Driven Personalized Medicine And Smart Healthcare,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443405723,Book,Academic Press
978-0-443-36765-6,9780443367656,Green Microbial Nanotechnology for Biomedical Applications,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443367656,Book,Elsevier
978-0-443-29259-0,9780443292590,Consciousness: A Comprehensive Reference (Second Edition),,,,,2026,2026/8/24,https://www.sciencedirect.com/science/referenceworks/9780443292590,Reference Work,Elsevier
978-0-443-45867-5,9780443458675,Spectral Density Multifield Energy Theory in Structural Dynamics,,,,Woodhead Publishing Series in Civil and Structural Engineering,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443458675,Book,Woodhead Publishing
978-0-443-45663-3,9780443456633,Artificial Intelligence in Livestock Omics,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443456633,Book,Academic Press
978-0-443-48555-8,9780443485558,Sustainable Hybrid Cooling and Dehumidification Strategies for Controlled Environments,,,,Emerging Technologies and Materials in Thermal Engineering,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443485558,Book,Elsevier
978-0-443-44777-8,9780443447778,Adaptive Predefined-Time Attitude Control for Spacecraft,,,,Aerospace Engineering,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443447778,Book,Elsevier
978-0-443-45107-2,9780443451072,Acid Mine Drainage,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443451072,Book,Elsevier
978-0-443-44197-4,9780443441974,The Principles and Practice of Medical Education,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443441974,Book,Academic Press
978-0-443-51212-4,9780443512124,Nanotechnology for Cleaner Pulp and Paper Processes,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443512124,Book,Elsevier
978-0-443-44835-5,9780443448355,Embedded Artificial Intelligence and the Internet of Things for Photovoltaic Systems,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443448355,Book,Elsevier
978-0-443-44585-9,9780443445859,Nanoengineered Therapeutics for Lung Cancer,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443445859,Book,Academic Press
978-0-443-54009-7,9780443540097,Automotive-Grade Electronics,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443540097,Book,Elsevier
978-0-443-44611-5,9780443446115,CDK4/6 inhibitors in Breast Cancer Therapy,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443446115,Book,Academic Press
978-0-443-44607-8,9780443446078,Contemporary Research Methods in Pharmacy and Health Services - Volume 2,,,,Contemporary Research Methods in Pharmacy and Health Services,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443446078,Book,Academic Press
978-0-323-93040-6,9780323930406,Decision-Making in Ophthalmology,,,,Decision Making,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780323930406,Book,Elsevier
978-0-443-11851-7,9780443118517,Anderson’s Pediatric Cardiology (Fifth Edition),,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443118517,Book,Elsevier
978-0-323-71255-2,9780323712552,Canine and Feline Arthrology and Arthroscopy,,,,,2025,2026/8/21,https://www.sciencedirect.com/science/book/9780323712552,Book,Elsevier
978-0-12-812358-4,9780128123584,Aquaculture Mycology and Bacteriology,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780128123584,Book,Academic Press
978-0-443-30291-6,9780443302916,Deep Learning Assessment of Neurological Imaging,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443302916,Book,Academic Press
978-0-443-27735-1,9780443277351,Navigating Tuberculosis,,,,Foundations and Frontiers in Enzymology,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443277351,Book,Academic Press
978-0-443-24078-2,9780443240782,The Rat Nervous System (Fifth Edition),,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443240782,Book,Academic Press
978-0-443-34047-5,9780443340475,Sustainable Zinc Oxide Nanostructures,,,,Micro and Nano Technologies,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443340475,Book,Elsevier
978-0-443-26655-3,9780443266553,Mitochondrial Genomics,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443266553,Book,Elsevier
978-0-443-33162-6,9780443331626,Tribology of Fiber Materials and Composites,,,,Woodhead Publishing Series in Composites Science and Engineering,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443331626,Book,Woodhead Publishing
978-0-443-36354-2,9780443363542,Electromagnetic Signal and Information Theory,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443363542,Book,Academic Press
978-0-443-33557-0,9780443335570,"Carbon Incentives, Plans, and Policies in Agriculture",,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443335570,Book,Academic Press
978-0-443-29190-6,9780443291906,Harvesting the Sea,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443291906,Book,Academic Press
978-0-443-22086-9,9780443220869,Satellite Remote Sensing,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443220869,Book,Elsevier
978-0-443-21725-8,9780443217258,Quick Guide to Diabetes Mellitus (Second Edition),,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443217258,Book,Academic Press
978-0-443-27590-6,9780443275906,Harnessing Earth Observation for Coastal Engineering,,,,Earth Observation,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443275906,Book,Elsevier
978-0-443-36536-2,9780443365362,The Science and Safety of Beverages,,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443365362,Book,Academic Press
978-0-443-44101-1,9780443441011,Tidal Energy Systems (Second Edition),,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443441011,Book,Elsevier
978-0-443-34222-6,9780443342226,"Wetlands: Biodiversity, Health and their Role in Ecosystem Services",,,,,2026,2026/8/21,https://www.sciencedirect.com/science/book/9780443342226,Book,Elsevier
978-3-437-21197-3,9783437211973,Orthopädisch-unfallchirurgische Begutachtung (Vierte Ausgabe),,,,MONOGRAPHIE - Fachbuch - Urban & Fischer-Verlag,2026,2026/8/17,https://www.sciencedirect.com/science/book/9783437211973,Book,Urban &#x26; Fischer
978-0-443-45396-0,9780443453960,Starches in Smart Packaging,,,,Applications of Starches in Food and Packaging,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443453960,Book,Academic Press
978-0-443-44925-3,9780443449253,Technical and Ethical Optimization,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443449253,Book,Elsevier
978-0-443-45911-5,9780443459115,Smart Biosensing Technologies for Early Detection of Metabolic Disorders,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443459115,Book,Academic Press
978-0-443-45544-5,9780443455445,Microneedle Technology,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443455445,Book,Elsevier
978-0-443-44998-7,9780443449987,"Decolonizing Medical Education, Research and Practice",,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443449987,Book,Academic Press
978-0-443-48509-1,9780443485091,Innovative Strategies Against Blood Parasites,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443485091,Book,Academic Press
978-0-443-48527-5,9780443485275,Foundations of Real Analysis,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443485275,Book,Academic Press
978-0-443-45298-7,9780443452987,Stochastic Planning and Modeling for Energy Systems,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443452987,Book,Elsevier
978-0-443-44247-6,9780443442476,Quantum Computing and Instrumentation for Smart Agriculture,,,,Micro and Nano Technologies,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443442476,Book,Elsevier
978-0-443-44295-7,9780443442957,Healing Botanicals,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443442957,Book,Academic Press
978-0-443-49292-1,9780443492921,Get to Know Your Employee,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443492921,Book,Academic Press
978-0-443-45446-2,9780443454462,Plant-Derived Feed Additives and Animal-Based Foods,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443454462,Book,Academic Press
978-0-443-44712-9,9780443447129,Mineral Nutrients to Mitigate Abiotic Stress in Crops,,,,"Plant Biology, Sustainability, and Climate Change",2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443447129,Book,Academic Press
978-0-443-45811-8,9780443458118,Cellular Senescence and Cardiac Aging,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443458118,Book,Academic Press
978-0-443-44589-7,9780443445897,Advances in Biosensor Technology for Mycobacterium Tuberculosis Detection,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443445897,Book,Academic Press
978-0-443-49334-8,9780443493348,Spacecraft Electromagnetic Docking and Separation,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443493348,Book,Elsevier
978-0-443-51547-7,9780443515477,Nonlinear Process Modeling in Chemical and Particle Systems,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443515477,Book,Elsevier
978-0-443-44730-3,9780443447303,Dairy 4.0,,,,The Fourth Industrial Revolution (Industry 4.0) in the Food Sector: Revolutionizing Agri-Food and Seafood through Smart Technologies,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443447303,Book,Academic Press
978-0-443-44853-9,9780443448539,Sustainable Water Management,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443448539,Book,Elsevier
978-0-443-44486-9,9780443444869,Green Microbial Nanotechnology for Food and Agriculture,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443444869,Book,Elsevier
978-0-443-33939-4,9780443339394,A Pragmatic Approach to Multicultural Counselling and Psychotherapy Skills Acquisition,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443339394,Book,Academic Press
978-0-443-33704-8,9780443337048,Aquaculture with Artificial Intelligence,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443337048,Book,Academic Press
978-0-443-36759-5,9780443367595,Learning-Based Soft Sensing and Predictions for Process Industries,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443367595,Book,Academic Press
978-0-443-36715-1,9780443367151,Sustainable Agriculture,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443367151,Book,Academic Press
978-0-443-28995-8,9780443289958,The Honey Bee and Climate Change,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443289958,Book,Academic Press
978-0-443-36692-5,9780443366925,Nanodynamic Therapies,,,,Micro and Nano Technologies,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443366925,Book,Elsevier
978-0-443-29038-1,9780443290381,The Science of Pharmacology,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443290381,Book,Academic Press
978-0-443-40459-7,9780443404597,Piezoelectric Composite Materials,,,,Woodhead Publishing Series in Composites Science and Engineering,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443404597,Book,Woodhead Publishing
978-0-443-43856-1,9780443438561,Per- and Polyfluoroalkyl Substances (PFAS) as Environmental Contaminants,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443438561,Book,Elsevier
978-0-443-36528-7,9780443365287,"A Modern Atlas for Implantable Devices of the Spine, Brain, and Nerve",,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443365287,Book,Academic Press
978-0-443-36522-5,9780443365225,Practical Process Research and Development (Third Edition),,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443365225,Book,Academic Press
978-0-443-41700-9,9780443417009,Alternative Construction Materials for Structures and Bridges,,,,Woodhead Publishing Series in Civil and Structural Engineering,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443417009,Book,Woodhead Publishing
978-0-443-40634-8,9780443406348,Investigative and Predictive Forensic Microbiology,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443406348,Book,Academic Press
978-0-443-29152-4,9780443291524,Multimodal Remote Sensing Fusion and Classification,,,,Earth Observation,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443291524,Book,Elsevier
978-0-443-36448-8,9780443364488,Reliability in Green Engineering,,,,Advances in Reliability Science,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443364488,Book,Elsevier
978-0-443-41632-3,9780443416323,Digital Twins in the Smart Classroom,,,,Advances in Digital Twin Computing and Sensor Networks,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443416323,Book,Elsevier
978-0-443-33879-3,9780443338793,Natural Disasters Under Changing Climate,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443338793,Book,Academic Press
978-0-443-32792-6,9780443327926,High-Temperature Polymeric Materials,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443327926,Book,Elsevier
978-0-443-30281-7,9780443302817,Urban Geography,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443302817,Book,Academic Press
978-0-443-32948-7,9780443329487,Geomicrobiology of Río Tinto,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443329487,Book,Academic Press
978-0-443-27532-6,9780443275326,Metal-ion Capacitors,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443275326,Book,Elsevier
978-0-443-27660-6,9780443276606,Non-Invasive Prenatal Screening of Rare Fetal Genetic Diseases,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443276606,Book,Academic Press
978-0-443-29825-7,9780443298257,Environmental Microbiology (Fourth Edition),,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443298257,Book,Academic Press
978-0-443-21471-4,9780443214714,Molecular Tools and Infectious Disease Epidemiology (Second Edition),,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443214714,Book,Academic Press
978-0-443-33271-5,9780443332715,Cell Free Synthesis of Biologics,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443332715,Book,Academic Press
978-0-443-27424-4,9780443274244,Multiple Abiotic Stresses in Plants,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443274244,Book,Academic Press
978-0-443-43972-8,9780443439728,Insurance Technology,,,,,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780443439728,Book,Academic Press
978-0-12-821964-5,9780128219645,Graphene and 2D Materials in Heat Transfer,,,,Micro and Nano Technologies,2026,2026/8/14,https://www.sciencedirect.com/science/book/9780128219645,Book,Elsevier
978-3-437-21135-5,9783437211355,Kompaktatlas Sonografie,,,,,2026,2026/8/10,https://www.sciencedirect.com/science/book/9783437211355,Book,Urban &#x26; Fischer
978-3-437-21273-4,9783437212734,Psychiatrische Begutachtung (Achte Ausgabe),,,,MONOGRAPHIE - Fachbuch - Urban & Fischer-Verlag,2026,2026/8/10,https://www.sciencedirect.com/science/book/9783437212734,Book,Urban &#x26; Fischer
978-3-437-21345-8,9783437213458,Anästhesie (Dreizehnte Ausgabe),,,,,2026,2026/8/10,https://www.sciencedirect.com/science/book/9783437213458,Book,Urban &#x26; Fischer
978-3-437-45004-4,9783437450044,Pädiatrie,,,,PHYSIOTHERAPIE-KG-MASSAGE - Lehrbuch - Urban&Fischer-Verlag,2025,2026/8/10,https://www.sciencedirect.com/science/book/9783437450044,Book,Urban &#x26; Fischer
978-0-443-44530-9,9780443445309,Two-Dimensional Nanomaterials for Water Purification,,,,Micro and Nano Technologies,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443445309,Book,Elsevier
978-0-443-44744-0,9780443447440,Emotional Artificial Intelligence,,,,,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443447440,Book,Academic Press
978-0-443-45024-2,9780443450242,River Pollution,,,,,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443450242,Book,Elsevier
978-0-443-45767-8,9780443457678,Advanced Smart Hydrogel Modeling,,,,,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443457678,Book,Elsevier
978-0-443-44299-5,9780443442995,The Metallome in Motion,,,,,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443442995,Book,Academic Press
978-0-443-45917-7,9780443459177,Barrier Membranes in Regenerative Dentistry,,,,,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443459177,Book,Academic Press
978-0-323-89892-8,9780323898928,Plant Intelligent Automation and Digital Transformation,,,,,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780323898928,Book,Academic Press
978-0-443-28605-6,9780443286056,Pancreatic Cystic Lesions,,,,,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443286056,Book,Elsevier
978-0-443-26741-3,9780443267413,"Remote Sensing, Big Data, and GeoAI",,,,Earth Observation,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443267413,Book,Elsevier
978-0-443-36324-5,9780443363245,"Single, Double, and Triple Starch Modifications",,,,Applications of Starches in Food and Packaging,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443363245,Book,Academic Press
978-0-443-41813-6,9780443418136,Wastewater Valorization,,,,,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443418136,Book,Elsevier
978-0-443-41596-8,9780443415968,Transdisciplinary Ecohydrology,,,,Ecohydrology from Catchment to Coast,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443415968,Book,Elsevier
978-0-443-33809-0,9780443338090,Advanced Space Propulsion,,,,Aerospace Engineering,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443338090,Book,Elsevier
978-0-443-36463-1,9780443364631,Smart Additive Remanufacturing,,,,Woodhead Publishing in Materials,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443364631,Book,Woodhead Publishing
978-0-443-26619-5,9780443266195,Fiber Production Technologies for Biomedical Applications,,,,Woodhead Publishing Series in Biomaterials,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443266195,Book,Woodhead Publishing
978-0-443-43874-5,9780443438745,Age-Friendly Engineering for the Built Environment,,,,Woodhead Publishing Series in Civil and Structural Engineering,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443438745,Book,Woodhead Publishing
978-0-443-36704-5,9780443367045,The Manila Clam Ruditapes philippinarum,,,,Estuarine and Coastal Sciences Series,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443367045,Book,Elsevier
978-0-443-36624-6,9780443366246,Grey Wolf Optimizer,,,,,2026,2026/8/7,https://www.sciencedirect.com/science/book/9780443366246,Book,Morgan Kaufmann
978-3-437-21887-3,9783437218873,Atlas Schilddrüsensonografie,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437218873,Book,Content Repository Only!
978-3-437-21885-9,9783437218859,Diagnostik und Therapie Neurologischer Erkrankungen (Fünfte Ausgabe),,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437218859,Book,Content Repository Only!
978-3-437-21883-5,9783437218835,Diagnostik und Therapie Neurologischer Erkrankungen (Dritte Ausgabe),,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437218835,Book,Content Repository Only!
978-3-437-21333-5,9783437213335,SOPs Neurologie griffbereit First Edition,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437213335,Book,Content Repository Only!
978-3-437-21842-2,9783437218422,AWMF S3+ Kinderschutzleitlinie,,,,MONOGRAPHIE - Fachbuch - Urban & Fischer-Verlag,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437218422,Book,Urban &#x26; Fischer
978-2-294-78710-2,9782294787102,Neurologie pédiatrique,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294787102,Book,Elsevier Masson
978-3-437-21154-6,9783437211546,Praxishandbuch der pädiatrischen Grundversorgung,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437211546,Book,Content Repository Only!
978-3-437-21349-6,9783437213496,Fachsprachprüfung - erfolgreich bestehen! (Zweite Ausgabe),,,,MONOGRAPHIE - Fachbuch - Urban & Fischer-Verlag,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437213496,Book,Urban &#x26; Fischer
978-3-437-21821-7,9783437218217,Fälle Nephrologie,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437218217,Book,Content Repository Only!
978-2-294-77999-2,9782294779992,Stratégies Managériales et Accompagnement dans les Structures de Soins,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294779992,Book,Elsevier Masson
978-3-437-21153-9,9783437211539,Repetitorium Facharztprüfung Viszeralchirurgie,,,,MONOGRAPHIE - Fachbuch - Urban & Fischer-Verlag,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437211539,Book,Urban &#x26; Fischer
978-3-437-24422-3,9783437244223,Schwierige Gesprachssituationen in Psychiatrie und Psychotherapie Third Edition,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437244223,Book,Content Repository Only!
978-2-294-77965-7,9782294779657,Psychothérapies des TOC et troubles apparentés,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294779657,Book,Elsevier Masson
978-2-294-76139-3,9782294761393,Manuel de Psychologie Clinique de la Périnatalité (Deuxième Édition),,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294761393,Book,Content Repository Only!
978-3-437-21144-7,9783437211447,Post-COVID erfolgreich therapieren,,,,MONOGRAPHIE - Fachbuch - Urban & Fischer-Verlag,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437211447,Book,Urban &#x26; Fischer
978-3-437-23091-2,9783437230912,Praxishandbuch Videospiel- und Internetabhängigkeit,,,,MONOGRAPHIE - Fachbuch - Urban & Fischer-Verlag,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437230912,Book,Urban &#x26; Fischer
978-2-294-78709-6,9782294787096,Manuel pratique d'anesthésie (Cinquième Édition),,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294787096,Book,Elsevier Masson
978-2-294-76463-9,9782294764639,Enfance et Psychopathologie (Onzième Édition),,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294764639,Book,Content Repository Only!
978-3-437-23072-1,9783437230721,Behandlungsmanual Soziale- Netzwerke-Nutzungsstörung,,,,MONOGRAPHIE - Fachbuch - Urban & Fischer-Verlag,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437230721,Book,Urban &#x26; Fischer
978-3-437-23066-0,9783437230660,Praxishandbuch Therapie in der Forensischen Psychiatrie und Psychologie First Edition,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437230660,Book,Content Repository Only!
978-3-437-23056-1,9783437230561,Behandlungsmanual Videospiel- und Internetabhängigkeit,,,,MONOGRAPHIE - Fachbuch - Urban & Fischer-Verlag,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437230561,Book,Urban &#x26; Fischer
978-3-437-21351-9,9783437213519,Fachbuch Schwangerschaft und Stillzeit First Edition,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9783437213519,Book,Content Repository Only!
978-2-294-78794-2,9782294787942,Les Conduites suicidaires,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294787942,Book,Elsevier Masson
978-2-294-78233-6,9782294782336,Raisonnement clinique en médecine d'urgence,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294782336,Book,Elsevier Masson
978-2-294-78847-5,9782294788475,Psychothérapies des traumatismes psychiques,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294788475,Book,Elsevier Masson
978-2-294-78848-2,9782294788482,Radiologie cardiaque,,,,,2026,2026/8/6,https://www.sciencedirect.com/science/book/9782294788482,Book,Elsevier Masson
